case_id,output_type,status,reason,n_tracks,npz_bytes,track_identity_aligned
CASE_T2B_005_VARIANT_1,DNASE,success,,8,27626388,True
CASE_T2B_005_VARIANT_1,CHIP_TF,success,,10,259682,True
CASE_T2B_005_VARIANT_1,CAGE,success,,18,47852248,True
CASE_T2B_005_VARIANT_1,PROCAP,success,,2,5998726,True
CASE_T2B_005_VARIANT_1,CHIP_HISTONE,success,,12,322006,True
CASE_T2B_005_VARIANT_1,SPLICE_SITES,success,,4,12207030,True
CASE_T2B_005_VARIANT_2_BENIGN,ATAC,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T2B_005_VARIANT_2_BENIGN,CONTACT_MAPS,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T2B_005_VARIANT_2_BENIGN,RNA_SEQ,success,,27,52536497,True
CASE_T2B_005_VARIANT_2_BENIGN,SPLICE_SITE_USAGE,success,,26,27345372,True
CASE_T2B_005_VARIANT_2_BENIGN,SPLICE_JUNCTIONS,success,,13,1210942,True
CASE_T2B_005_VARIANT_2_BENIGN,DNASE,success,,8,27589005,True
CASE_T2B_005_VARIANT_2_BENIGN,CHIP_TF,success,,10,259173,True
CASE_T2B_005_VARIANT_2_BENIGN,CAGE,success,,18,47584324,True
CASE_T2B_005_VARIANT_2_BENIGN,PROCAP,success,,2,5987947,True
CASE_T2B_005_VARIANT_2_BENIGN,CHIP_HISTONE,success,,12,321051,True
CASE_T2B_005_VARIANT_2_BENIGN,SPLICE_SITES,success,,4,12160683,True
CASE_T2B_006,ATAC,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T2B_006,CONTACT_MAPS,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T2B_006,RNA_SEQ,success,,27,53124831,True
CASE_T2B_006,SPLICE_SITE_USAGE,success,,26,27562530,True
CASE_T2B_006,SPLICE_JUNCTIONS,success,,13,1250654,True
CASE_T2B_006,DNASE,success,,8,27624283,True
CASE_T2B_006,CHIP_TF,success,,10,259312,True
CASE_T2B_006,CAGE,success,,18,47842242,True
CASE_T2B_006,PROCAP,success,,2,5997094,True
CASE_T2B_006,CHIP_HISTONE,success,,12,321465,True
CASE_T2B_006,SPLICE_SITES,success,,4,12211286,True
