case_id,output_type,track_index,track_name,status,signed_min,signed_max,abs_max,signed_mean,peak_position
CASE_T1_001,RNA_SEQ,17,CL:0002618 polyA plus RNA-seq,paired,-0.6875,0.6875,0.6875,0.00012015182980399683,472940
CASE_T1_001,RNA_SEQ,18,CL:0002618 total RNA-seq,paired,-0.25,0.3125,0.3125,6.110389727724715e-05,524190
CASE_T1_001,RNA_SEQ,19,CL:1001568 total RNA-seq,paired,-0.5,0.5,0.5,5.5251095040948286e-05,497309
CASE_T1_001,RNA_SEQ,20,CL:2000010 total RNA-seq,paired,-0.625,0.625,0.625,0.00016032531449341645,499457
CASE_T1_001,RNA_SEQ,21,CL:2000011 total RNA-seq,paired,-0.625,0.625,0.625,0.00011269025327066175,499330
CASE_T1_001,RNA_SEQ,22,CL:2000016 total RNA-seq,paired,-0.4375,0.625,0.625,9.005468708096005e-05,629869
CASE_T1_001,RNA_SEQ,23,CL:2000018 total RNA-seq,paired,-0.4375,0.5,0.5,6.350878005535981e-05,524214
CASE_T1_001,RNA_SEQ,24,CL:2000040 total RNA-seq,paired,-0.5,0.5,0.5,0.00010617856535077765,499426
CASE_T1_001,RNA_SEQ,25,CL:2000041 total RNA-seq,paired,-0.625,0.625,0.625,0.00011275814727013111,497341
CASE_T1_001,RNA_SEQ,26,CL:0002618 polyA plus RNA-seq,paired,-10.0,9.0,10.0,0.0002384931910620853,1041939
CASE_T1_001,SPLICE_SITE_USAGE,0,usage_CL:0000115 total RNA-seq,paired,-0.00390625,0.00390625,0.00390625,-1.0398246049319053e-08,705933
CASE_T1_001,SPLICE_SITE_USAGE,1,usage_CL:0002188 total RNA-seq,paired,-0.00390625,0.00390625,0.00390625,-4.834013634692769e-09,741643
CASE_T1_001,SPLICE_SITE_USAGE,2,usage_CL:0002543 total RNA-seq,paired,-0.00390625,0.00390625,0.00390625,-1.7641570180929912e-08,705933
CASE_T1_001,SPLICE_SITE_USAGE,3,usage_CL:0002545 total RNA-seq,paired,-0.005859375,0.00390625,0.005859375,-1.4031060006729473e-08,821237
CASE_T1_001,SPLICE_SITE_USAGE,4,usage_CL:0002618 polyA plus RNA-seq,paired,-0.005859375,0.00390625,0.005859375,-1.853207719877334e-09,821237
CASE_T1_001,SPLICE_SITE_USAGE,5,usage_CL:0002618 total RNA-seq,paired,-0.0048828125,0.00390625,0.0048828125,4.623101380885064e-09,821237
CASE_T1_001,SPLICE_SITE_USAGE,6,usage_CL:1001568 total RNA-seq,paired,-0.005859375,0.00390625,0.005859375,-8.716153317872045e-09,821237
CASE_T1_001,SPLICE_SITE_USAGE,7,usage_CL:2000010 total RNA-seq,paired,-0.005859375,0.00390625,0.005859375,-9.48166188692221e-09,821237
CASE_T1_001,SPLICE_SITE_USAGE,8,usage_CL:2000011 total RNA-seq,paired,-0.005859375,0.00390625,0.005859375,-1.59119217801873e-09,821237
CASE_T1_001,SPLICE_SITE_USAGE,9,usage_CL:2000016 total RNA-seq,paired,-0.005859375,0.00390625,0.005859375,-3.2080853190966097e-08,821237
CASE_T1_001,SPLICE_SITE_USAGE,10,usage_CL:2000018 total RNA-seq,paired,-0.00390625,0.00390625,0.00390625,2.6208905863720627e-09,743131
CASE_T1_001,SPLICE_SITE_USAGE,11,usage_CL:2000040 total RNA-seq,paired,-0.00390625,0.00390625,0.00390625,-9.635380002280102e-10,740933
CASE_T1_001,SPLICE_SITE_USAGE,12,usage_CL:2000041 total RNA-seq,paired,-0.005859375,0.00390625,0.005859375,-1.1047318060911299e-08,821237
CASE_T1_001,SPLICE_SITE_USAGE,13,usage_CL:0000115 total RNA-seq,paired,-0.0048828125,0.0078125,0.0078125,4.313978953024927e-09,249525
CASE_T1_001,SPLICE_SITE_USAGE,14,usage_CL:0002188 total RNA-seq,paired,-0.0048828125,0.0078125,0.0078125,3.794453879266495e-08,244685
CASE_T1_001,SPLICE_SITE_USAGE,15,usage_CL:0002543 total RNA-seq,paired,-0.0048828125,0.0078125,0.0078125,1.712625359138576e-08,244685
CASE_T1_001,SPLICE_SITE_USAGE,16,usage_CL:0002545 total RNA-seq,paired,-0.0078125,0.0078125,0.0078125,4.476958244764756e-08,249525
CASE_T1_001,SPLICE_SITE_USAGE,17,usage_CL:0002618 polyA plus RNA-seq,paired,-0.005859375,0.0078125,0.0078125,2.1698606321363415e-08,81202
CASE_T1_001,SPLICE_SITE_USAGE,18,usage_CL:0002618 total RNA-seq,paired,-0.0078125,0.0078125,0.0078125,1.876650449597355e-08,244685
CASE_T1_001,SPLICE_SITE_USAGE,19,usage_CL:1001568 total RNA-seq,paired,-0.0068359375,0.0078125,0.0078125,2.3964965364596407e-08,244685
CASE_T1_001,SPLICE_SITE_USAGE,20,usage_CL:2000010 total RNA-seq,paired,-0.005859375,0.005859375,0.005859375,2.0980444101932464e-08,948914
CASE_T1_001,SPLICE_SITE_USAGE,21,usage_CL:2000011 total RNA-seq,paired,-0.0068359375,0.0078125,0.0078125,7.615084414936684e-10,244685
CASE_T1_001,SPLICE_SITE_USAGE,22,usage_CL:2000016 total RNA-seq,paired,-0.0048828125,0.0078125,0.0078125,3.305073733473818e-08,615742
CASE_T1_001,SPLICE_SITE_USAGE,23,usage_CL:2000018 total RNA-seq,paired,-0.0078125,0.0078125,0.0078125,-9.456500543824629e-09,249525
CASE_T1_001,SPLICE_SITE_USAGE,24,usage_CL:2000040 total RNA-seq,paired,-0.005859375,0.0078125,0.0078125,2.146647459543183e-08,244685
CASE_T1_001,SPLICE_SITE_USAGE,25,usage_CL:2000041 total RNA-seq,paired,-0.005859375,0.0078125,0.0078125,2.328153187983459e-08,244685
CASE_T1_001,SPLICE_JUNCTIONS,0,junction_CL:0000115 total RNA-seq,paired,-0.02512592077255249,0.023473262786865234,0.02512592077255249,2.056066731754501e-05,10656
CASE_T1_001,SPLICE_JUNCTIONS,1,junction_CL:0002188 total RNA-seq,paired,-0.029195785522460938,0.03334522247314453,0.03334522247314453,3.4913070828663514e-05,12774
CASE_T1_001,SPLICE_JUNCTIONS,2,junction_CL:0002543 total RNA-seq,paired,-0.037200927734375,0.04112863540649414,0.04112863540649414,6.87019797291906e-05,2692
CASE_T1_001,SPLICE_JUNCTIONS,3,junction_CL:0002545 total RNA-seq,paired,-0.03877830505371094,0.0313340425491333,0.03877830505371094,5.030791496140263e-05,10656
CASE_T1_001,SPLICE_JUNCTIONS,4,junction_CL:0002618 polyA plus RNA-seq,paired,-0.028751134872436523,0.03221940994262695,0.03221940994262695,4.4052903946933126e-05,2417
CASE_T1_001,SPLICE_JUNCTIONS,5,junction_CL:0002618 total RNA-seq,paired,-0.027869224548339844,0.03041362762451172,0.03041362762451172,4.305383501591629e-05,12774
CASE_T1_001,SPLICE_JUNCTIONS,6,junction_CL:1001568 total RNA-seq,paired,-0.0344996452331543,0.03116166591644287,0.0344996452331543,5.015479079739051e-05,10656
CASE_T1_001,SPLICE_JUNCTIONS,7,junction_CL:2000010 total RNA-seq,paired,-0.036515235900878906,0.04880189895629883,0.04880189895629883,7.88747490563537e-05,2692
CASE_T1_001,SPLICE_JUNCTIONS,8,junction_CL:2000011 total RNA-seq,paired,-0.03714752197265625,0.04363393783569336,0.04363393783569336,7.016652591863864e-05,2692
CASE_T1_001,SPLICE_JUNCTIONS,9,junction_CL:2000016 total RNA-seq,paired,-0.03412771224975586,0.048569440841674805,0.048569440841674805,7.102350198414978e-05,2692
CASE_T1_001,SPLICE_JUNCTIONS,10,junction_CL:2000018 total RNA-seq,paired,-0.03509807586669922,0.03146076202392578,0.03509807586669922,4.735670114310619e-05,10806
CASE_T1_001,SPLICE_JUNCTIONS,11,junction_CL:2000040 total RNA-seq,paired,-0.038315773010253906,0.0442051887512207,0.0442051887512207,8.021878459667887e-05,2692
CASE_T1_001,SPLICE_JUNCTIONS,12,junction_CL:2000041 total RNA-seq,paired,-0.043239593505859375,0.046300411224365234,0.046300411224365234,8.003763237664833e-05,2692
CASE_T1_001,DNASE,0,CL:0000115 DNase-seq,paired,-0.375,0.15625,0.375,2.089981276043318e-06,784284
CASE_T1_001,DNASE,1,CL:0002618 DNase-seq,paired,-0.25,0.25,0.25,1.5665531060283524e-05,686007
CASE_T1_001,DNASE,2,CL:1000892 DNase-seq,paired,-0.0625,0.0625,0.0625,5.658530170649101e-06,250847
CASE_T1_001,DNASE,3,CL:1001568 DNase-seq,paired,-0.25,0.1875,0.25,1.4187708430740128e-05,622240
CASE_T1_001,DNASE,4,CL:2000010 DNase-seq,paired,-0.75,0.5,0.75,1.6429589692000384e-05,971060
CASE_T1_001,DNASE,5,CL:2000016 DNase-seq,paired,-0.75,2.0,2.0,1.3282289220484245e-05,1039779
CASE_T1_001,DNASE,6,CL:2000041 DNase-seq,paired,-0.625,0.75,0.75,2.417696491826437e-05,841760
CASE_T1_001,DNASE,7,CL:2000044 DNase-seq,paired,-0.25,0.5,0.5,1.253454137381451e-05,250847
CASE_T1_001,CHIP_TF,0,CL:0000115 TF ChIP-seq CTCF,paired,-16.0,4.0,16.0,-0.004222869873046875,6177
CASE_T1_001,CHIP_TF,1,CL:0002618 TF ChIP-seq CTCF,paired,-8.0,64.0,64.0,0.0182342529296875,3860
CASE_T1_001,CHIP_TF,2,CL:0002618 TF ChIP-seq FOS,paired,-12.0,12.0,12.0,0.00276947021484375,4859
CASE_T1_001,CHIP_TF,3,CL:0002618 TF ChIP-seq GATA2,paired,-8.0,40.0,40.0,0.00543975830078125,5160
CASE_T1_001,CHIP_TF,4,CL:0002618 TF ChIP-seq JUN,paired,-6.0,32.0,32.0,0.0117340087890625,5260
CASE_T1_001,CHIP_TF,5,CL:0002618 TF ChIP-seq MAX,paired,-4.0,8.0,8.0,0.00164031982421875,6949
CASE_T1_001,CHIP_TF,6,CL:0002618 TF ChIP-seq MYC,paired,-16.0,32.0,32.0,0.0055751800537109375,8116
CASE_T1_001,CHIP_TF,7,CL:0002618 TF ChIP-seq POLR2A,paired,-24.0,32.0,32.0,0.012084484100341797,7625
CASE_T1_001,CHIP_TF,8,CL:0002618 TF ChIP-seq POLR2AphosphoS5,paired,-16.0,32.0,32.0,0.00940704345703125,8172
CASE_T1_001,CHIP_TF,9,CL:2000044 TF ChIP-seq CTCF,paired,-80.0,64.0,80.0,0.0068817138671875,3861
CASE_T1_001,CAGE,0,hCAGE CL:0002138,paired,-32.0,64.0,64.0,9.884842390117665e-05,1039883
CASE_T1_001,CAGE,1,hCAGE CL:0002144,paired,-64.0,128.0,128.0,9.211941537179413e-05,1039886
CASE_T1_001,CAGE,2,hCAGE CL:0002188,paired,-32.0,96.0,96.0,0.0001312534007414934,1039883
CASE_T1_001,CAGE,3,hCAGE CL:0002543,paired,-20.0,32.0,32.0,0.00016570899964191144,1039882
CASE_T1_001,CAGE,4,hCAGE CL:0002544,paired,-32.0,64.0,64.0,0.00018996724446523894,1039883
CASE_T1_001,CAGE,5,hCAGE CL:0002545,paired,-16.0,128.0,128.0,0.0002609496155776547,1039883
CASE_T1_001,CAGE,6,hCAGE CL:0002588,paired,-12.0,384.0,384.0,0.0007105529686965428,1039886
CASE_T1_001,CAGE,7,hCAGE CL:0002618,paired,-32.0,256.0,256.0,0.00024263116512216604,1039884
CASE_T1_001,CAGE,8,hCAGE CL:1000413,paired,-64.0,384.0,384.0,0.00042341884510566086,1039886
CASE_T1_001,CAGE,9,hCAGE CL:0002138,paired,-8.0,8.0,8.0,7.567778518643986e-05,629908
CASE_T1_001,CAGE,10,hCAGE CL:0002144,paired,-16.0,8.0,16.0,0.00010005524784334474,847395
CASE_T1_001,CAGE,11,hCAGE CL:0002188,paired,-6.0,24.0,24.0,0.00013904076543413968,998630
CASE_T1_001,CAGE,12,hCAGE CL:0002543,paired,-4.0,24.0,24.0,0.00012793427860136042,998630
CASE_T1_001,CAGE,13,hCAGE CL:0002544,paired,-6.0,8.0,8.0,0.00010991550324834787,629954
CASE_T1_001,CAGE,14,hCAGE CL:0002545,paired,-8.0,12.0,12.0,0.00017390814013573674,629954
CASE_T1_001,CAGE,15,hCAGE CL:0002588,paired,-12.0,12.0,12.0,8.092150329006009e-05,847395
CASE_T1_001,CAGE,16,hCAGE CL:0002618,paired,-6.0,10.0,10.0,8.351411053557356e-05,630038
CASE_T1_001,CAGE,17,hCAGE CL:1000413,paired,-5.0,20.0,20.0,0.0001420385949048586,847444
CASE_T1_001,PROCAP,0,ENCSR801ECP,paired,-32.0,4.0,32.0,-1.8092063085548005e-05,1039887
CASE_T1_001,PROCAP,1,ENCSR801ECP,paired,-3.0,6.0,6.0,2.7265385607933013e-05,976044
CASE_T1_001,CHIP_HISTONE,0,CL:0002618 Histone ChIP-seq H2AFZ,paired,-12.0,16.0,16.0,0.01433563232421875,7627
CASE_T1_001,CHIP_HISTONE,1,CL:0002618 Histone ChIP-seq H3K27ac,paired,-48.0,64.0,64.0,0.016118407249450684,4864
CASE_T1_001,CHIP_HISTONE,2,CL:0002618 Histone ChIP-seq H3K27me3,paired,-4.0,4.0,4.0,0.004177093505859375,3517
CASE_T1_001,CHIP_HISTONE,3,CL:0002618 Histone ChIP-seq H3K36me3,paired,-16.0,16.0,16.0,0.028293609619140625,4100
CASE_T1_001,CHIP_HISTONE,4,CL:0002618 Histone ChIP-seq H3K4me1,paired,-12.0,24.0,24.0,0.036243438720703125,5355
CASE_T1_001,CHIP_HISTONE,5,CL:0002618 Histone ChIP-seq H3K4me2,paired,-16.0,32.0,32.0,0.023136138916015625,6606
CASE_T1_001,CHIP_HISTONE,6,CL:0002618 Histone ChIP-seq H3K4me3,paired,-32.0,32.0,32.0,-0.00506591796875,5520
CASE_T1_001,CHIP_HISTONE,7,CL:0002618 Histone ChIP-seq H3K79me2,paired,-24.0,12.0,24.0,-0.0060176849365234375,6600
CASE_T1_001,CHIP_HISTONE,8,CL:0002618 Histone ChIP-seq H3K9ac,paired,-96.0,64.0,96.0,0.012439727783203125,8126
CASE_T1_001,CHIP_HISTONE,9,CL:2000044 Histone ChIP-seq H3K27ac,paired,-32.0,8.0,32.0,-0.01416015625,8121
CASE_T1_001,CHIP_HISTONE,10,CL:2000044 Histone ChIP-seq H3K36me3,paired,-4.0,4.0,4.0,-0.006717681884765625,5793
CASE_T1_001,CHIP_HISTONE,11,CL:2000044 Histone ChIP-seq H3K4me3,paired,-320.0,512.0,512.0,0.0044689178466796875,7799
CASE_T1_001,SPLICE_SITES,0,donor,paired,-0.0078125,0.0078125,0.0078125,-1.2484586555359944e-07,737762
CASE_T1_001,SPLICE_SITES,1,acceptor,paired,-0.009765625,0.0078125,0.009765625,2.855334412660282e-08,741539
CASE_T1_001,SPLICE_SITES,2,donor,paired,-0.0078125,0.0078125,0.0078125,7.134081878718002e-08,476963
CASE_T1_001,SPLICE_SITES,3,acceptor,paired,-0.0078125,0.01708984375,0.01708984375,7.268147107775125e-08,524272
CASE_T1_002,RNA_SEQ,0,CL:0000115 total RNA-seq,paired,-0.375,0.75,0.75,1.5961657668317475e-05,1038374
CASE_T1_002,RNA_SEQ,1,CL:0002188 total RNA-seq,paired,-0.625,0.625,0.625,2.4786338113981315e-05,753603
CASE_T1_002,RNA_SEQ,2,CL:0002543 total RNA-seq,paired,-0.375,0.5,0.5,1.8090178133711027e-05,1038450
CASE_T1_002,RNA_SEQ,3,CL:0002545 total RNA-seq,paired,-0.3125,0.375,0.375,9.235585123092138e-06,1038355
CASE_T1_002,RNA_SEQ,4,CL:0002618 polyA plus RNA-seq,paired,-0.625,0.875,0.875,4.811997402846727e-05,761497
CASE_T1_002,RNA_SEQ,5,CL:0002618 total RNA-seq,paired,-0.3125,0.625,0.625,2.0029132445021497e-05,1038407
CASE_T1_002,RNA_SEQ,6,CL:1001568 total RNA-seq,paired,-0.375,0.625,0.625,3.185343525862155e-05,763319
CASE_T1_002,RNA_SEQ,7,CL:2000010 total RNA-seq,paired,-0.5,0.5,0.5,1.63301493052008e-05,753555
CASE_T1_002,RNA_SEQ,8,CL:2000011 total RNA-seq,paired,-1.25,1.0,1.25,1.7140230185762936e-05,1038517
CASE_T1_002,RNA_SEQ,9,CL:2000016 total RNA-seq,paired,-1.75,1.75,1.75,2.51790518868407e-05,1038496
CASE_T1_002,RNA_SEQ,10,CL:2000018 total RNA-seq,paired,-0.75,2.0,2.0,4.3432744256829275e-05,1038355
CASE_T1_002,RNA_SEQ,11,CL:2000040 total RNA-seq,paired,-0.75,1.25,1.25,3.571455012150109e-05,1038373
CASE_T1_002,RNA_SEQ,12,CL:2000041 total RNA-seq,paired,-0.75,0.75,0.75,2.050767073224775e-05,1038337
CASE_T1_002,RNA_SEQ,13,CL:0000115 total RNA-seq,paired,-0.1875,0.1875,0.1875,2.2009068666381526e-05,522142
CASE_T1_002,RNA_SEQ,14,CL:0002188 total RNA-seq,paired,-0.625,0.625,0.625,0.00010797781140163467,522202
CASE_T1_002,RNA_SEQ,15,CL:0002543 total RNA-seq,paired,-0.5,0.5,0.5,8.351999704656055e-05,522596
CASE_T1_002,RNA_SEQ,16,CL:0002545 total RNA-seq,paired,-0.21875,0.21875,0.21875,4.856650335914592e-05,522177
CASE_T1_002,RNA_SEQ,17,CL:0002618 polyA plus RNA-seq,paired,-0.6875,0.6875,0.6875,0.0001154270850796587,477127
CASE_T1_002,RNA_SEQ,18,CL:0002618 total RNA-seq,paired,-0.1875,0.1875,0.1875,5.6970011880887704e-05,477268
CASE_T1_002,RNA_SEQ,19,CL:1001568 total RNA-seq,paired,-0.5,0.5,0.5,0.00012564679270987006,504195
CASE_T1_002,RNA_SEQ,20,CL:2000010 total RNA-seq,paired,-0.75,0.875,0.875,0.00013227688533464562,638464
CASE_T1_002,RNA_SEQ,21,CL:2000011 total RNA-seq,paired,-0.625,0.625,0.625,0.00010267273053837789,521986
CASE_T1_002,RNA_SEQ,22,CL:2000016 total RNA-seq,paired,-0.625,0.625,0.625,8.816749783189886e-05,649262
CASE_T1_002,RNA_SEQ,23,CL:2000018 total RNA-seq,paired,-0.4375,0.4375,0.4375,8.138230418651936e-05,481608
CASE_T1_002,RNA_SEQ,24,CL:2000040 total RNA-seq,paired,-0.5,0.5,0.5,0.00010543983481006301,522125
CASE_T1_002,RNA_SEQ,25,CL:2000041 total RNA-seq,paired,-0.625,0.625,0.625,0.00011020842311429717,520047
CASE_T1_002,RNA_SEQ,26,CL:0002618 polyA plus RNA-seq,paired,-0.5,0.75,0.75,0.0001101088994565188,763591
CASE_T1_002,SPLICE_SITE_USAGE,0,usage_CL:0000115 total RNA-seq,paired,-0.0078125,0.005859375,0.0078125,-1.5822917087682242e-08,840435
CASE_T1_002,SPLICE_SITE_USAGE,1,usage_CL:0002188 total RNA-seq,paired,-0.005859375,0.00390625,0.005859375,-1.25289156549524e-08,840435
CASE_T1_002,SPLICE_SITE_USAGE,2,usage_CL:0002543 total RNA-seq,paired,-0.0029296875,0.00390625,0.00390625,2.8582268496446517e-09,760800
CASE_T1_002,SPLICE_SITE_USAGE,3,usage_CL:0002545 total RNA-seq,paired,-0.00390625,0.00390625,0.00390625,-1.012148531653878e-09,840435
CASE_T1_002,SPLICE_SITE_USAGE,4,usage_CL:0002618 polyA plus RNA-seq,paired,-0.00390625,0.00390625,0.00390625,8.630257730679602e-09,840435
CASE_T1_002,SPLICE_SITE_USAGE,5,usage_CL:0002618 total RNA-seq,paired,-0.00390625,0.00390625,0.00390625,-2.624255562855282e-09,763547
CASE_T1_002,SPLICE_SITE_USAGE,6,usage_CL:1001568 total RNA-seq,paired,-0.00390625,0.00390625,0.00390625,-8.33940963507196e-09,840435
CASE_T1_002,SPLICE_SITE_USAGE,7,usage_CL:2000010 total RNA-seq,paired,-0.00390625,0.00390625,0.00390625,-1.5800047520331262e-08,840230
CASE_T1_002,SPLICE_SITE_USAGE,8,usage_CL:2000011 total RNA-seq,paired,-0.00390625,0.00390625,0.00390625,-5.6625745759042445e-09,763547
CASE_T1_002,SPLICE_SITE_USAGE,9,usage_CL:2000016 total RNA-seq,paired,-0.00390625,0.00390625,0.00390625,8.702614101574468e-09,753605
CASE_T1_002,SPLICE_SITE_USAGE,10,usage_CL:2000018 total RNA-seq,paired,-0.00390625,0.00390625,0.00390625,-5.267686176146924e-09,840435
CASE_T1_002,SPLICE_SITE_USAGE,11,usage_CL:2000040 total RNA-seq,paired,-0.00390625,0.00390625,0.00390625,2.208458693697679e-09,840435
CASE_T1_002,SPLICE_SITE_USAGE,12,usage_CL:2000041 total RNA-seq,paired,-0.005859375,0.00390625,0.005859375,-9.847831966558473e-09,840435
CASE_T1_002,SPLICE_SITE_USAGE,13,usage_CL:0000115 total RNA-seq,paired,-0.0078125,0.005859375,0.0078125,7.948821829917296e-09,876873
CASE_T1_002,SPLICE_SITE_USAGE,14,usage_CL:0002188 total RNA-seq,paired,-0.0078125,0.005859375,0.0078125,3.643419406451631e-09,877076
CASE_T1_002,SPLICE_SITE_USAGE,15,usage_CL:0002543 total RNA-seq,paired,-0.0078125,0.00390625,0.0078125,1.7919862232984585e-08,140727
CASE_T1_002,SPLICE_SITE_USAGE,16,usage_CL:0002545 total RNA-seq,paired,-0.005859375,0.005859375,0.005859375,-1.0913162297454537e-08,877076
CASE_T1_002,SPLICE_SITE_USAGE,17,usage_CL:0002618 polyA plus RNA-seq,paired,-0.0078125,0.00390625,0.0078125,-1.826018354578185e-08,140727
CASE_T1_002,SPLICE_SITE_USAGE,18,usage_CL:0002618 total RNA-seq,paired,-0.005859375,0.005859375,0.005859375,5.233781500552093e-08,140727
CASE_T1_002,SPLICE_SITE_USAGE,19,usage_CL:1001568 total RNA-seq,paired,-0.0078125,0.0078125,0.0078125,-2.3787774250383364e-09,140727
CASE_T1_002,SPLICE_SITE_USAGE,20,usage_CL:2000010 total RNA-seq,paired,-0.0078125,0.00390625,0.0078125,-1.832572610327432e-08,140727
CASE_T1_002,SPLICE_SITE_USAGE,21,usage_CL:2000011 total RNA-seq,paired,-0.0078125,0.00390625,0.0078125,1.5435458675105984e-09,140727
CASE_T1_002,SPLICE_SITE_USAGE,22,usage_CL:2000016 total RNA-seq,paired,-0.0078125,0.00390625,0.0078125,4.786223216368679e-09,140727
CASE_T1_002,SPLICE_SITE_USAGE,23,usage_CL:2000018 total RNA-seq,paired,-0.0078125,0.005859375,0.0078125,-1.7155334583462967e-08,877076
CASE_T1_002,SPLICE_SITE_USAGE,24,usage_CL:2000040 total RNA-seq,paired,-0.0078125,0.0078125,0.0078125,7.972469552586237e-09,877076
CASE_T1_002,SPLICE_SITE_USAGE,25,usage_CL:2000041 total RNA-seq,paired,-0.0078125,0.00390625,0.0078125,-6.299461348391322e-09,877076
CASE_T1_002,SPLICE_JUNCTIONS,0,junction_CL:0000115 total RNA-seq,paired,-0.01593923568725586,0.026683807373046875,0.026683807373046875,2.956300266998829e-05,11440
CASE_T1_002,SPLICE_JUNCTIONS,1,junction_CL:0002188 total RNA-seq,paired,-0.02547168731689453,0.02376842498779297,0.02547168731689453,4.967090982262584e-05,2066
CASE_T1_002,SPLICE_JUNCTIONS,2,junction_CL:0002543 total RNA-seq,paired,-0.03938758373260498,0.04012918472290039,0.04012918472290039,8.794804866814852e-05,11439
CASE_T1_002,SPLICE_JUNCTIONS,3,junction_CL:0002545 total RNA-seq,paired,-0.02569580078125,0.03366374969482422,0.03366374969482422,6.492423510522404e-05,11439
CASE_T1_002,SPLICE_JUNCTIONS,4,junction_CL:0002618 polyA plus RNA-seq,paired,-0.02767479419708252,0.026675939559936523,0.02767479419708252,5.5329998329479975e-05,770
CASE_T1_002,SPLICE_JUNCTIONS,5,junction_CL:0002618 total RNA-seq,paired,-0.024507522583007812,0.026395797729492188,0.026395797729492188,4.7906579692153944e-05,11440
CASE_T1_002,SPLICE_JUNCTIONS,6,junction_CL:1001568 total RNA-seq,paired,-0.0349574089050293,0.03670644760131836,0.03670644760131836,6.197511255898868e-05,11439
CASE_T1_002,SPLICE_JUNCTIONS,7,junction_CL:2000010 total RNA-seq,paired,-0.04863452911376953,0.04866170883178711,0.04866170883178711,0.00012040200487663357,11439
CASE_T1_002,SPLICE_JUNCTIONS,8,junction_CL:2000011 total RNA-seq,paired,-0.05172252655029297,0.037489891052246094,0.05172252655029297,0.00010641942822583542,2239
CASE_T1_002,SPLICE_JUNCTIONS,9,junction_CL:2000016 total RNA-seq,paired,-0.05239582061767578,0.04412841796875,0.05239582061767578,0.00012101887950569749,2239
CASE_T1_002,SPLICE_JUNCTIONS,10,junction_CL:2000018 total RNA-seq,paired,-0.026947975158691406,0.029914140701293945,0.029914140701293945,5.731304528310005e-05,1316
CASE_T1_002,SPLICE_JUNCTIONS,11,junction_CL:2000040 total RNA-seq,paired,-0.042604923248291016,0.040164947509765625,0.042604923248291016,8.649094292311983e-05,2239
CASE_T1_002,SPLICE_JUNCTIONS,12,junction_CL:2000041 total RNA-seq,paired,-0.0531463623046875,0.049558162689208984,0.0531463623046875,0.0001355053168090827,2239
CASE_T1_002,DNASE,0,CL:0000115 DNase-seq,paired,-0.25,0.1875,0.25,5.956993263112054e-07,516860
CASE_T1_002,DNASE,1,CL:0002618 DNase-seq,paired,-0.375,0.25,0.375,3.453807094944963e-06,998812
CASE_T1_002,DNASE,2,CL:1000892 DNase-seq,paired,-0.0625,0.0625,0.0625,2.9310086233635957e-06,708444
CASE_T1_002,DNASE,3,CL:1001568 DNase-seq,paired,-0.25,0.25,0.25,4.50270490693214e-06,998812
